hotel_id,hotel_name,combined,hotel_site_id
lgath,"The Beekman, A Thompson Hotel","lgath-The Beekman, A Thompson Hotel",Hyatt-lgath
nycuc,The Chatwal,nycuc-The Chatwal,Hyatt-nycuc
swfuc,The Chatwal Lodge,swfuc-The Chatwal Lodge,Hyatt-swfuc
lgajt,The Time New York,lgajt-The Time New York,Hyatt-lgajt
lgatp,Thompson Central Park New York,lgatp-Thompson Central Park New York,Hyatt-lgatp
cltct,Hyatt Centric Charlotte SouthPark,cltct-Hyatt Centric Charlotte SouthPark,Hyatt-cltct
cltxr,Hyatt House Charlotte / Rea Farms,cltxr-Hyatt House Charlotte / Rea Farms,Hyatt-cltxr
cltxc,Hyatt House Charlotte Airport,cltxc-Hyatt House Charlotte Airport,Hyatt-cltxc
cltxd,Hyatt House Charlotte/Center City,cltxd-Hyatt House Charlotte/Center City,Hyatt-cltxd
rduxr,Hyatt House Raleigh / RDU / Brier Creek,rduxr-Hyatt House Raleigh / RDU / Brier Creek,Hyatt-rduxr
rduxm,Hyatt House Raleigh Durham Airport,rduxm-Hyatt House Raleigh Durham Airport,Hyatt-rduxm
rduxn,Hyatt House Raleigh North Hills,rduxn-Hyatt House Raleigh North Hills,Hyatt-rduxn
gspzp,Hyatt Place Asheville Airport,gspzp-Hyatt Place Asheville Airport,Hyatt-gspzp
rduzc,Hyatt Place Chapel Hill / Southern Village,rduzc-Hyatt Place Chapel Hill / Southern Village,Hyatt-rduzc
cltzv,Hyatt Place Charlotte / University Research Park,cltzv-Hyatt Place Charlotte / University Research Park,Hyatt-cltzv
cltzo,Hyatt Place Charlotte Airport / Billy Graham Parkway,cltzo-Hyatt Place Charlotte Airport / Billy Graham Parkway,Hyatt-cltzo
cltzt,Hyatt Place Charlotte Airport/Lake Pointe,cltzt-Hyatt Place Charlotte Airport/Lake Pointe,Hyatt-cltzt
cltzu,Hyatt Place Charlotte Downtown,cltzu-Hyatt Place Charlotte Downtown,Hyatt-cltzu
cltzc,Hyatt Place Charlotte/Arrowood,cltzc-Hyatt Place Charlotte/Arrowood,Hyatt-cltzc
rduzd,Hyatt Place Durham/Southpoint,rduzd-Hyatt Place Durham/Southpoint,Hyatt-rduzd
gsozg,Hyatt Place Greensboro,gsozg-Hyatt Place Greensboro,Hyatt-gsozg
gsozd,Hyatt Place Greensboro / Downtown,gsozd-Hyatt Place Greensboro / Downtown,Hyatt-gsozd
rduzh,Hyatt Place Raleigh / Cary,rduzh-Hyatt Place Raleigh / Cary,Hyatt-rduzh
rduzr,Hyatt Place Raleigh-Durham Airport,rduzr-Hyatt Place Raleigh-Durham Airport,Hyatt-rduzr
rdudh,Rizzo Center,rdudh-Rizzo Center,Hyatt-rdudh
rdudc,The Carolina Inn,rdudc-The Carolina Inn,Hyatt-rdudc
rdujd,Unscripted Durham,rdujd-Unscripted Durham,Hyatt-rdujd
motxm,Hyatt House Minot,motxm-Hyatt House Minot,Hyatt-motxm
cmhxo,Hyatt House Columbus OSU / Short North,cmhxo-Hyatt House Columbus OSU / Short North,Hyatt-cmhxo
cakzn,Hyatt Place Canton,cakzn-Hyatt Place Canton,Hyatt-cakzn
cvgzs,Hyatt Place Cincinnati / Sharonville Convention Center,cvgzs-Hyatt Place Cincinnati / Sharonville Convention Center,Hyatt-cvgzs
cinzb,Hyatt Place Cincinnati/Blue Ash,cinzb-Hyatt Place Cincinnati/Blue Ash,Hyatt-cinzb
clezl,Hyatt Place Cleveland/Lyndhurst/Legacy Village,clezl-Hyatt Place Cleveland/Lyndhurst/Legacy Village,Hyatt-clezl
clezc,Hyatt Place Cleveland/Westlake/Crocker Park,clezc-Hyatt Place Cleveland/Westlake/Crocker Park,Hyatt-clezc
cmhzp,Hyatt Place Columbus / Polaris,cmhzp-Hyatt Place Columbus / Polaris,Hyatt-cmhzp
cmhzd,Hyatt Place Columbus/Dublin,cmhzd-Hyatt Place Columbus/Dublin,Hyatt-cmhzd
cmhzg,Hyatt Place Columbus/OSU,cmhzg-Hyatt Place Columbus/OSU,Hyatt-cmhzg
cmhzw,Hyatt Place Columbus/Worthington,cmhzw-Hyatt Place Columbus/Worthington,Hyatt-cmhzw
cinci,Hyatt Regency Cincinnati,cinci-Hyatt Regency Cincinnati,Hyatt-cinci
clerc,Hyatt Regency Cleveland at The Arcade,clerc-Hyatt Regency Cleveland at The Arcade,Hyatt-clerc
cmhrc,Hyatt Regency Columbus,cmhrc-Hyatt Regency Columbus,Hyatt-cmhrc
okczd,Hyatt Place Oklahoma City / Bricktown,okczd-Hyatt Place Oklahoma City / Bricktown,Hyatt-okczd
tulzt,Hyatt Place Tulsa / Downtown,tulzt-Hyatt Place Tulsa / Downtown,Hyatt-tulzt
tulrt,Hyatt Regency Tulsa Downtown,tulrt-Hyatt Regency Tulsa Downtown,Hyatt-tulrt
pdxct,Hyatt Centric Downtown Portland,pdxct-Hyatt Centric Downtown Portland,Hyatt-pdxct
pdxxb,Hyatt House Portland / Beaverton,pdxxb-Hyatt House Portland / Beaverton,Hyatt-pdxxb
pdxxd,Hyatt House Portland/Downtown,pdxxd-Hyatt House Portland/Downtown,Hyatt-pdxxd
eugzo,Hyatt Place Eugene / Oakway Center,eugzo-Hyatt Place Eugene / Oakway Center,Hyatt-eugzo
pdxza,Hyatt Place Portland Airport/Cascade Station,pdxza-Hyatt Place Portland Airport/Cascade Station,Hyatt-pdxza
pdxrp,Hyatt Regency Portland at the Oregon Convention Center,pdxrp-Hyatt Regency Portland at the Oregon Convention Center,Hyatt-pdxrp
phlct,Hyatt Centric Center City Philadelphia,phlct-Hyatt Centric Center City Philadelphia,Hyatt-phlct
abexa,Hyatt House Allentown / Lehigh Valley,abexa-Hyatt House Allentown / Lehigh Valley,Hyatt-abexa
phlxk,Hyatt House Philadelphia/King of Prussia,phlxk-Hyatt House Philadelphia/King of Prussia,Hyatt-phlxk
phlxp,Hyatt House Philadelphia/Plymouth Meeting,phlxp-Hyatt House Philadelphia/Plymouth Meeting,Hyatt-phlxp
pitxs,Hyatt House Pittsburgh-South Side,pitxs-Hyatt House Pittsburgh-South Side,Hyatt-pitxs
pitxp,Hyatt House Pittsburgh/Bloomfield/Shadyside,pitxp-Hyatt House Pittsburgh/Bloomfield/Shadyside,Hyatt-pitxp
abeza,Hyatt Place Allentown / Lehigh Valley,abeza-Hyatt Place Allentown / Lehigh Valley,Hyatt-abeza
pitzm,Hyatt Place at The Hollywood Casino / Pittsburgh - South,pitzm-Hyatt Place at The Hollywood Casino / Pittsburgh - South,Hyatt-pitzm
abezb,Hyatt Place Bethlehem,abezb-Hyatt Place Bethlehem,Hyatt-abezb
phlzk,Hyatt Place Philadelphia/King of Prussia,phlzk-Hyatt Place Philadelphia/King of Prussia,Hyatt-phlzk
pitza,Hyatt Place Pittsburgh Airport / Robinson Mall,pitza-Hyatt Place Pittsburgh Airport / Robinson Mall,Hyatt-pitza
pitzn,Hyatt Place Pittsburgh-North Shore,pitzn-Hyatt Place Pittsburgh-North Shore,Hyatt-pitzn
scezs,Hyatt Place State College,scezs-Hyatt Place State College,Hyatt-scezs
pitap,Hyatt Regency Pittsburgh International Airport,pitap-Hyatt Regency Pittsburgh International Airport,Hyatt-pitap
phlph,The Bellevue Hotel,phlph-The Bellevue Hotel,Hyatt-phlph
sjuxs,Hyatt House San Juan,sjuxs-Hyatt House San Juan,Hyatt-sjuxs
sjuzb,Hyatt Place Bayamón,sjuzb-Hyatt Place Bayamón,Hyatt-sjuzb
sjuzm,Hyatt Place Manatí,sjuzm-Hyatt Place Manatí,Hyatt-sjuzm
sjuzs,Hyatt Place San Juan,sjuzs-Hyatt Place San Juan,Hyatt-sjuzs
sjurc,Hyatt Regency Grand Reserve Puerto Rico,sjurc-Hyatt Regency Grand Reserve Puerto Rico,Hyatt-sjurc
hacsh,Hyatt Vacation Club at Hacienda del Mar,hacsh-Hyatt Vacation Club at Hacienda del Mar,Hyatt-hacsh
pvdzw,Hyatt Place Warwick Providence Airport,pvdzw-Hyatt Place Warwick Providence Airport,Hyatt-pvdzw
pvdjd,The Pell,pvdjd-The Pell,Hyatt-pvdjd
chsxm,Hyatt House Charleston / Mount Pleasant,chsxm-Hyatt House Charleston / Mount Pleasant,Hyatt-chsxm
chsxh,Hyatt House Charleston/Historic District,chsxh-Hyatt House Charleston/Historic District,Hyatt-chsxh
chszc,Hyatt Place Charleston Airport/Convention Center,chszc-Hyatt Place Charleston Airport/Convention Center,Hyatt-chszc
chszh,Hyatt Place Charleston/Historic District,chszh-Hyatt Place Charleston/Historic District,Hyatt-chszh
caezv,Hyatt Place Columbia/Downtown/The Vista,caezv-Hyatt Place Columbia/Downtown/The Vista,Hyatt-caezv
caezh,Hyatt Place Columbia/Harbison,caezh-Hyatt Place Columbia/Harbison,Hyatt-caezh
flozf,Hyatt Place Florence / Downtown,flozf-Hyatt Place Florence / Downtown,Hyatt-flozf
gspzg,Hyatt Place Greenville Downtown,gspzg-Hyatt Place Greenville Downtown,Hyatt-gspzg
pgvzg,Hyatt Place Greenville/Haywood,pgvzg-Hyatt Place Greenville/Haywood,Hyatt-pgvzg
chszp,Hyatt Place Mount Pleasant Towne Centre,chszp-Hyatt Place Mount Pleasant Towne Centre,Hyatt-chszp
chszn,Hyatt Place North Charleston,chszn-Hyatt Place North Charleston,Hyatt-chszn
sumzs,Hyatt Place Sumter / Downtown,sumzs-Hyatt Place Sumter / Downtown,Hyatt-sumzs
gsprg,Hyatt Regency Greenville,gsprg-Hyatt Regency Greenville,Hyatt-gsprg
chsdv,Wild Dunes Resort - Sweetgrass Inn and Boardwalk Inn,chsdv-Wild Dunes Resort - Sweetgrass Inn and Boardwalk Inn,Hyatt-chsdv
chsdb,Wild Dunes Resort - Sweetgrass Inn and Boardwalk Inn,chsdb-Wild Dunes Resort - Sweetgrass Inn and Boardwalk Inn,Hyatt-chsdb
fsdzs,Hyatt Place Sioux Falls – South,fsdzs-Hyatt Place Sioux Falls – South,Hyatt-fsdzs
memcp,Caption by Hyatt Beale Street Memphis,memcp-Caption by Hyatt Beale Street Memphis,Hyatt-memcp
bnadz,Dream Nashville,bnadz-Dream Nashville,Hyatt-bnadz
bnarn,Grand Hyatt Nashville,bnarn-Grand Hyatt Nashville,Hyatt-bnarn
bnaub,Holston House Nashville,bnaub-Holston House Nashville,Hyatt-bnaub
memct,Hyatt Centric Beale Street Memphis,memct-Hyatt Centric Beale Street Memphis,Hyatt-memct
bnact,Hyatt Centric Downtown Nashville,bnact-Hyatt Centric Downtown Nashville,Hyatt-bnact
bnaxf,Hyatt House Nashville / Franklin - Cool Springs,bnaxf-Hyatt House Nashville / Franklin - Cool Springs,Hyatt-bnaxf
bnaxa,Hyatt House Nashville Airport,bnaxa-Hyatt House Nashville Airport,Hyatt-bnaxa
bnaxw,Hyatt House Nashville at Vanderbilt,bnaxw-Hyatt House Nashville at Vanderbilt,Hyatt-bnaxw
bnaxd,Hyatt House Nashville Downtown / Convention Center,bnaxd-Hyatt House Nashville Downtown / Convention Center,Hyatt-bnaxd
tyszd,Hyatt Place Knoxville / Downtown,tyszd-Hyatt Place Knoxville / Downtown,Hyatt-tyszd
memzg,Hyatt Place Memphis/Germantown,memzg-Hyatt Place Memphis/Germantown,Hyatt-memzg
memzp,Hyatt Place Memphis/Primacy Parkway,memzp-Hyatt Place Memphis/Primacy Parkway,Hyatt-memzp
memzw,Hyatt Place Memphis/Wolfchase Galleria,memzw-Hyatt Place Memphis/Wolfchase Galleria,Hyatt-memzw
bnazm,Hyatt Place Murfreesboro,bnazm-Hyatt Place Murfreesboro,Hyatt-bnazm
bnazb,Hyatt Place Nashville / Brentwood,bnazb-Hyatt Place Nashville / Brentwood,Hyatt-bnazb
bnazl,Hyatt Place Nashville / Green Hills,bnazl-Hyatt Place Nashville / Green Hills,Hyatt-bnazl
bnaza,Hyatt Place Nashville Airport,bnaza-Hyatt Place Nashville Airport,Hyatt-bnaza
bnazd,Hyatt Place Nashville Downtown,bnazd-Hyatt Place Nashville Downtown,Hyatt-bnazd
bnazf,Hyatt Place Nashville/Franklin/Cool Springs,bnazf-Hyatt Place Nashville/Franklin/Cool Springs,Hyatt-bnazf
bnazh,Hyatt Place Nashville/Hendersonville,bnazh-Hyatt Place Nashville/Hendersonville,Hyatt-bnazh
bnazo,Hyatt Place Nashville/Opryland,bnazo-Hyatt Place Nashville/Opryland,Hyatt-bnazo
bnath,Thompson Nashville,bnath-Thompson Nashville,Hyatt-bnath
dfwgh,Grand Hyatt DFW,dfwgh-Grand Hyatt DFW,Hyatt-dfwgh
ausct,Hyatt Centric Congress Avenue Austin,ausct-Hyatt Centric Congress Avenue Austin,Hyatt-ausct
hourw,Hyatt Centric The Woodlands,hourw-Hyatt Centric The Woodlands,Hyatt-hourw
ausxd,Hyatt House Austin/Downtown,ausxd-Hyatt House Austin/Downtown,Hyatt-ausxd
iahxb,Hyatt House Bryan / College Station,iahxb-Hyatt House Bryan / College Station,Hyatt-iahxb
dfwxa,Hyatt House Dallas/Addison,dfwxa-Hyatt House Dallas/Addison,Hyatt-dfwxa
dfwxf,Hyatt House Dallas/Frisco,dfwxf-Hyatt House Dallas/Frisco,Hyatt-dfwxf
dfwxl,Hyatt House Dallas/Las Colinas,dfwxl-Hyatt House Dallas/Las Colinas,Hyatt-dfwxl
dfwxp,Hyatt House Dallas/Lincoln Park,dfwxp-Hyatt House Dallas/Lincoln Park,Hyatt-dfwxp
dfwxu,Hyatt House Dallas/Uptown,dfwxu-Hyatt House Dallas/Uptown,Hyatt-dfwxu
houxm,Hyatt House Houston Medical Center,houxm-Hyatt House Houston Medical Center,Hyatt-houxm
houxw,Hyatt House Houston/Energy Corridor,houxw-Hyatt House Houston/Energy Corridor,Hyatt-houxw
houxg,Hyatt House Houston/Galleria,houxg-Hyatt House Houston/Galleria,Hyatt-houxg
iahxw,Hyatt House The Woodlands / Shenandoah,iahxw-Hyatt House The Woodlands / Shenandoah,Hyatt-iahxw
amaza,Hyatt Place Amarillo - West,amaza-Hyatt Place Amarillo - West,Hyatt-amaza
ausza,Hyatt Place Austin / Arboretum,ausza-Hyatt Place Austin / Arboretum,Hyatt-ausza
auszc,Hyatt Place Austin / Cedar Park,auszc-Hyatt Place Austin / Cedar Park,Hyatt-auszc
auszl,Hyatt Place Austin / Lake Travis / Four Points,auszl-Hyatt Place Austin / Lake Travis / Four Points,Hyatt-auszl
auszi,Hyatt Place Austin Airport,auszi-Hyatt Place Austin Airport,Hyatt-auszi
auszd,Hyatt Place Austin Downtown,auszd-Hyatt Place Austin Downtown,Hyatt-auszd
auszr,Hyatt Place Austin/Round Rock,auszr-Hyatt Place Austin/Round Rock,Hyatt-auszr
cllzc,Hyatt Place College Station,cllzc-Hyatt Place College Station,Hyatt-cllzc
crpzc,Hyatt Place Corpus Christi,crpzc-Hyatt Place Corpus Christi,Hyatt-crpzc
dfwzw,Hyatt Place Dallas / Las Colinas,dfwzw-Hyatt Place Dallas / Las Colinas,Hyatt-dfwzw
dfwzr,Hyatt Place Dallas / Rockwall,dfwzr-Hyatt Place Dallas / Rockwall,Hyatt-dfwzr
dfwzn,Hyatt Place Dallas-North/by the Galleria,dfwzn-Hyatt Place Dallas-North/by the Galleria,Hyatt-dfwzn
dfwzo,Hyatt Place Dallas/Allen,dfwzo-Hyatt Place Dallas/Allen,Hyatt-dfwzo
dfwza,Hyatt Place Dallas/Arlington,dfwza-Hyatt Place Dallas/Arlington,Hyatt-dfwza
dfwzb,Hyatt Place Dallas/Garland/Richardson,dfwzb-Hyatt Place Dallas/Garland/Richardson,Hyatt-dfwzb
dfwzd,Hyatt Place Dallas/Grapevine,dfwzd-Hyatt Place Dallas/Grapevine,Hyatt-dfwzd
dfwzg,Hyatt Place Dallas/North Arlington/Grand Prairie,dfwzg-Hyatt Place Dallas/North Arlington/Grand Prairie,Hyatt-dfwzg
dfwze,Hyatt Place Dallas/Park Central,dfwze-Hyatt Place Dallas/Park Central,Hyatt-dfwze
dfwzp,Hyatt Place Dallas/Plano,dfwzp-Hyatt Place Dallas/Plano,Hyatt-dfwzp
dfwzt,Hyatt Place Dallas/The Colony,dfwzt-Hyatt Place Dallas/The Colony,Hyatt-dfwzt
dfwzi,Hyatt Place DFW,dfwzi-Hyatt Place DFW,Hyatt-dfwzi
elpza,Hyatt Place El Paso Airport,elpza-Hyatt Place El Paso Airport,Hyatt-elpza
dfwzy,Hyatt Place Fort Worth / Alliance Town Center,dfwzy-Hyatt Place Fort Worth / Alliance Town Center,Hyatt-dfwzy
dfwzu,Hyatt Place Fort Worth / TCU,dfwzu-Hyatt Place Fort Worth / TCU,Hyatt-dfwzu
dfwzf,Hyatt Place Fort Worth Historic Stockyards,dfwzf-Hyatt Place Fort Worth Historic Stockyards,Hyatt-dfwzf
dfwzc,Hyatt Place Fort Worth/Cityview,dfwzc-Hyatt Place Fort Worth/Cityview,Hyatt-dfwzc
dfwzh,Hyatt Place Fort Worth/Hurst,dfwzh-Hyatt Place Fort Worth/Hurst,Hyatt-dfwzh
iahzh,Hyatt Place Houston / Downtown,iahzh-Hyatt Place Houston / Downtown,Hyatt-iahzh
houzm,Hyatt Place Houston Medical Center,houzm-Hyatt Place Houston Medical Center,Hyatt-houzm
houzv,Hyatt Place Houston NW Vintage Park,houzv-Hyatt Place Houston NW Vintage Park,Hyatt-houzv
houza,Hyatt Place Houston-North,houza-Hyatt Place Houston-North,Hyatt-houza
houzn,Hyatt Place Houston-Northwest / Cy-Fair,houzn-Hyatt Place Houston-Northwest / Cy-Fair,Hyatt-houzn
houzg,Hyatt Place Houston/Galleria,houzg-Hyatt Place Houston/Galleria,Hyatt-houzg
houzk,Hyatt Place Houston/Katy,houzk-Hyatt Place Houston/Katy,Hyatt-houzk
houzs,Hyatt Place Houston/Sugar Land,houzs-Hyatt Place Houston/Sugar Land,Hyatt-houzs
houzw,Hyatt Place Houston/The Woodlands,houzw-Hyatt Place Houston/The Woodlands,Hyatt-houzw
lbbzl,Hyatt Place Lubbock,lbbzl-Hyatt Place Lubbock,Hyatt-lbbzl
satza,Hyatt Place San Antonio Airport/Quarry Market,satza-Hyatt Place San Antonio Airport/Quarry Market,Hyatt-satza
satzs,Hyatt Place San Antonio-North/Stone Oak,satzs-Hyatt Place San Antonio-North/Stone Oak,Hyatt-satzs
satzn,Hyatt Place San Antonio-Northwest/Medical Center,satzn-Hyatt Place San Antonio-Northwest/Medical Center,Hyatt-satzn
satzr,Hyatt Place San Antonio/Riverwalk,satzr-Hyatt Place San Antonio/Riverwalk,Hyatt-satzr
auszw,Hyatt Place Waco - South,auszw-Hyatt Place Waco - South,Hyatt-auszw
ausra,Hyatt Regency Austin,ausra-Hyatt Regency Austin,Hyatt-ausra
iahrb,Hyatt Regency Baytown – Houston,iahrb-Hyatt Regency Baytown – Houston,Hyatt-iahrb
iahrc,Hyatt Regency Conroe,iahrc-Hyatt Regency Conroe,Hyatt-iahrc
dfwrd,Hyatt Regency Dallas,dfwrd-Hyatt Regency Dallas,Hyatt-dfwrd
dfwap,Hyatt Regency DFW International Airport,dfwap-Hyatt Regency DFW International Airport,Hyatt-dfwap
dfwro,Hyatt Regency Frisco - Dallas,dfwro-Hyatt Regency Frisco - Dallas,Hyatt-dfwro
sanhc,Hyatt Regency Hill Country Resort and Spa,sanhc-Hyatt Regency Hill Country Resort and Spa,Hyatt-sanhc
hourh,Hyatt Regency Houston Downtown,hourh-Hyatt Regency Houston Downtown,Hyatt-hourh
hounh,Hyatt Regency Houston Intercontinental Airport,hounh-Hyatt Regency Houston Intercontinental Airport,Hyatt-hounh
houro,Hyatt Regency Houston West,houro-Hyatt Regency Houston West,Hyatt-houro
hourg,Hyatt Regency Houston/Galleria,hourg-Hyatt Regency Houston/Galleria,Hyatt-hourg
auslp,Hyatt Regency Lost Pines Resort and Spa,auslp-Hyatt Regency Lost Pines Resort and Spa,Hyatt-auslp
satrs,Hyatt Regency San Antonio Riverwalk,satrs-Hyatt Regency San Antonio Riverwalk,Hyatt-satrs
sansh,Hyatt Vacation Club at Wild Oak Ranch,sansh-Hyatt Vacation Club at Wild Oak Ranch,Hyatt-sansh
ausob,Miraval Austin Resort and Spa,ausob-Miraval Austin Resort and Spa,Hyatt-ausob
aushd,The Driskill,aushd-The Driskill,Hyatt-aushd
austh,Thompson Austin,austh-Thompson Austin,Hyatt-austh
dfwth,Thompson Dallas,dfwth-Thompson Dallas,Hyatt-dfwth
iahth,Thompson Houston,iahth-Thompson Houston,Hyatt-iahth
satth,Thompson San Antonio – Riverwalk,satth-Thompson San Antonio – Riverwalk,Hyatt-satth
auste,tommie Austin,auste-tommie Austin,Hyatt-auste
slcpc,Hyatt Centric Park City,slcpc-Hyatt Centric Park City,Hyatt-slcpc
pvuxp,Hyatt House Provo / Pleasant Grove,pvuxp-Hyatt House Provo / Pleasant Grove,Hyatt-pvuxp
slcxd,Hyatt House Salt Lake City/Downtown,slcxd-Hyatt House Salt Lake City/Downtown,Hyatt-slcxd
slcxs,Hyatt House Salt Lake City/Sandy,slcxs-Hyatt House Salt Lake City/Sandy,Hyatt-slcxs
slczm,Hyatt Place Moab,slczm-Hyatt Place Moab,Hyatt-slczm
slczp,Hyatt Place Park City,slczp-Hyatt Place Park City,Hyatt-slczp
pvuzp,Hyatt Place Provo,pvuzp-Hyatt Place Provo,Hyatt-pvuzp
slcza,Hyatt Place Salt Lake City Airport,slcza-Hyatt Place Salt Lake City Airport,Hyatt-slcza
slczc,Hyatt Place Salt Lake City/Cottonwood,slczc-Hyatt Place Salt Lake City/Cottonwood,Hyatt-slczc
slczd,Hyatt Place Salt Lake City/Downtown/The Gateway,slczd-Hyatt Place Salt Lake City/Downtown/The Gateway,Hyatt-slczd
slczs,Hyatt Place Salt Lake City/Farmington/Station Park,slczs-Hyatt Place Salt Lake City/Farmington/Station Park,Hyatt-slczs
slczt,Hyatt Place Salt Lake City/Lehi,slczt-Hyatt Place Salt Lake City/Lehi,Hyatt-slczt
sguzs,Hyatt Place St. George / Convention Center,sguzs-Hyatt Place St. George / Convention Center,Hyatt-sguzs
slcrs,Hyatt Regency Salt Lake City,slcrs-Hyatt Regency Salt Lake City,Hyatt-slcrs
btvdh,The Lodge at Spruce Peak,btvdh-The Lodge at Spruce Peak,Hyatt-btvdh
wasar,Hyatt Centric Arlington,wasar-Hyatt Centric Arlington,Hyatt-wasar
iadct,Hyatt Centric Old Town Alexandria,iadct-Hyatt Centric Old Town Alexandria,Hyatt-iadct
iadxh,Hyatt House Herndon/Reston,iadxh-Hyatt House Herndon/Reston,Hyatt-iadxh
ricxr,Hyatt House Richmond / Short Pump,ricxr-Hyatt House Richmond / Short Pump,Hyatt-ricxr
iadxd,Hyatt House Sterling/Dulles Airport-North,iadxd-Hyatt House Sterling/Dulles Airport-North,Hyatt-iadxd
orfxv,Hyatt House Virginia Beach / Oceanfront,orfxv-Hyatt House Virginia Beach / Oceanfront,Hyatt-orfxv
wasza,Hyatt Place Arlington/Courthouse Plaza,wasza-Hyatt Place Arlington/Courthouse Plaza,Hyatt-wasza
cltzb,Hyatt Place Blacksburg/University,cltzb-Hyatt Place Blacksburg/University,Hyatt-cltzb
iadzs,Hyatt Place Chantilly/Dulles Airport-South,iadzs-Hyatt Place Chantilly/Dulles Airport-South,Hyatt-iadzs
chozc,Hyatt Place Charlottesville,chozc-Hyatt Place Charlottesville,Hyatt-chozc
orfzc,Hyatt Place Chesapeake/Greenbrier,orfzc-Hyatt Place Chesapeake/Greenbrier,Hyatt-orfzc
ezfzm,Hyatt Place Fredericksburg-Mary Washington,ezfzm-Hyatt Place Fredericksburg-Mary Washington,Hyatt-ezfzm
orfzh,Hyatt Place Hampton Convention Center,orfzh-Hyatt Place Hampton Convention Center,Hyatt-orfzh
chozh,Hyatt Place Harrisonburg,chozh-Hyatt Place Harrisonburg,Hyatt-chozh
iadzh,Hyatt Place Herndon/Dulles Airport-East,iadzh-Hyatt Place Herndon/Dulles Airport-East,Hyatt-iadzh
riczv,Hyatt Place Richmond Airport,riczv-Hyatt Place Richmond Airport,Hyatt-riczv
ricza,Hyatt Place Richmond/Arboretum,ricza-Hyatt Place Richmond/Arboretum,Hyatt-ricza
riczc,Hyatt Place Richmond/Chester,riczc-Hyatt Place Richmond/Chester,Hyatt-riczc
riczi,Hyatt Place Richmond/Innsbrook,riczi-Hyatt Place Richmond/Innsbrook,Hyatt-riczi
roazr,Hyatt Place Roanoke Airport/Valley View Mall,roazr-Hyatt Place Roanoke Airport/Valley View Mall,Hyatt-roazr
iadzn,Hyatt Place Sterling/Dulles Airport-North,iadzn-Hyatt Place Sterling/Dulles Airport-North,Hyatt-iadzn
orfzo,Hyatt Place Virginia Beach / Oceanfront ,orfzo-Hyatt Place Virginia Beach / Oceanfront,Hyatt-orfzo
orfzv,Hyatt Place Virginia Beach Town Center,orfzv-Hyatt Place Virginia Beach Town Center,Hyatt-orfzv
wasrc,Hyatt Regency Crystal City at Reagan National Airport,wasrc-Hyatt Regency Crystal City at Reagan National Airport,Hyatt-wasrc
dulle,Hyatt Regency Dulles,dulle-Hyatt Regency Dulles,Hyatt-dulle
resto,Hyatt Regency Reston,resto-Hyatt Regency Reston,Hyatt-resto
iadrt,Hyatt Regency Tysons Corner Center,iadrt-Hyatt Regency Tysons Corner Center,Hyatt-iadrt
seagh,Grand Hyatt Seattle,seagh-Grand Hyatt Seattle,Hyatt-seagh
seahs,Hyatt at Olive 8,seahs-Hyatt at Olive 8,Hyatt-seahs
seaxb,Hyatt House Seattle/Bellevue,seaxb-Hyatt House Seattle/Bellevue,Hyatt-seaxb
seaxd,Hyatt House Seattle/Downtown,seaxd-Hyatt House Seattle/Downtown,Hyatt-seaxd
seaxr,Hyatt House Seattle/Redmond,seaxr-Hyatt House Seattle/Redmond,Hyatt-seaxr
seazd,Hyatt Place Seattle/Downtown,seazd-Hyatt Place Seattle/Downtown,Hyatt-seazd
belle,Hyatt Regency Bellevue on Seattle's Eastside,belle-Hyatt Regency Bellevue on Seattle's Eastside,Hyatt-belle
searl,Hyatt Regency Lake Washington at Seattle's Southport,searl-Hyatt Regency Lake Washington at Seattle's Southport,Hyatt-searl
sears,Hyatt Regency Seattle,sears-Hyatt Regency Seattle,Hyatt-sears
seadl,Suncadia Resort,seadl-Suncadia Resort,Hyatt-seadl
seath,Thompson Seattle,seath-Thompson Seattle,Hyatt-seath
seada,Vacation Homes at Suncadia Resort,seada-Vacation Homes at Suncadia Resort,Hyatt-seada
msnzv,Hyatt Place Madison / Verona,msnzv-Hyatt Place Madison / Verona,Hyatt-msnzv
msnzd,Hyatt Place Madison/Downtown,msnzd-Hyatt Place Madison/Downtown,Hyatt-msnzd
mkeza,Hyatt Place Milwaukee Airport,mkeza-Hyatt Place Milwaukee Airport,Hyatt-mkeza
mkezd,Hyatt Place Milwaukee Downtown,mkezd-Hyatt Place Milwaukee Downtown,Hyatt-mkezd
mkezw,Hyatt Place Milwaukee-West,mkezw-Hyatt Place Milwaukee-West,Hyatt-mkezw
grbrg,Hyatt Regency Green Bay,grbrg-Hyatt Regency Green Bay,Hyatt-grbrg
mkerm,Hyatt Regency Milwaukee,mkerm-Hyatt Regency Milwaukee,Hyatt-mkerm
auaza,Hyatt Place Aruba Airport,auaza-Hyatt Place Aruba Airport,Hyatt-auaza
aruba,Hyatt Regency Aruba Resort Spa and Casino,aruba-Hyatt Regency Aruba Resort Spa and Casino,Hyatt-aruba
drcur,"Dreams Curaçao Resort, Spa & Casino","drcur-Dreams Curaçao Resort, Spa & Casino",Hyatt-drcur
sucur,"Sunscape Curaçao Resort, Spa & Casino","sucur-Sunscape Curaçao Resort, Spa & Casino",Hyatt-sucur
zocur,Zoëtry Curaçao Resort & Spa,zocur-Zoëtry Curaçao Resort & Spa,Hyatt-zocur
